path,acquisition,slices,receiverChannels,height,width,corrupted,systemFieldStrength_T,mode
data\multicoil_train\file_brain_AXT2_203_2030280.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030339.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030186.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030274.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030246.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030100.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030298.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030288.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030248.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030325.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030266.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030188.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030256.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030272.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030114.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030047.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030395.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030127.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030316.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030032.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030088.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030141.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030345.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030092.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030063.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030252.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030276.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030045.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030404.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030363.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030086.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030157.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030149.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030103.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030118.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030096.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030264.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030320.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030133.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030199.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030131.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030014.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030317.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030053.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030284.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030010.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030309.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030369.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030239.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030196.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030084.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT2_203_2030173.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030329.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT2_203_2030258.h5,AXT2,16,4,768,392,False,2.8936,multicoil_train
