path,acquisition,slices,receiverChannels,height,width,corrupted,systemFieldStrength_T,mode,max
data/multicoil_val/file_brain_AXT1PRE_203_6000618.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024265269
data/multicoil_train/file_brain_AXT1PRE_203_6000801.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002624029
data/multicoil_val/file_brain_AXT1PRE_203_6000866.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025762056
data/multicoil_train/file_brain_AXT1PRE_203_6000894.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00022761042
data/multicoil_train/file_brain_AXT1PRE_203_6000685.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024213787
data/multicoil_val/file_brain_AXT1PRE_203_6000809.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025260972
data/multicoil_train/file_brain_AXT1PRE_203_6000699.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00023719574
data/multicoil_train/file_brain_AXT1PRE_203_6000641.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024848734
data/multicoil_train/file_brain_AXT1PRE_203_6000691.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00021390978
data/multicoil_train/file_brain_AXT1PRE_203_6000639.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00021860265
data/multicoil_train/file_brain_AXT1PRE_203_6000715.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024631235
data/multicoil_val/file_brain_AXT1PRE_203_6000687.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025772056
data/multicoil_train/file_brain_AXT1PRE_203_6000734.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00028485717
data/multicoil_val/file_brain_AXT1PRE_203_6000624.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025498704
data/multicoil_train/file_brain_AXT1PRE_203_6000728.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00026926654
data/multicoil_train/file_brain_AXT1PRE_203_6000672.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00026098723
data/multicoil_val/file_brain_AXT1PRE_203_6000703.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024305253
data/multicoil_val/file_brain_AXT1PRE_203_6000662.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024395037
data/multicoil_train/file_brain_AXT1PRE_203_6000668.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00024342918
data/multicoil_train/file_brain_AXT1PRE_203_6000787.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00029431656
data/multicoil_train/file_brain_AXT1PRE_203_6000655.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0003779504
data/multicoil_train/file_brain_AXT1PRE_203_6000633.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002841142
data/multicoil_train/file_brain_AXT1PRE_203_6000726.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002174236
data/multicoil_train/file_brain_AXT1PRE_203_6000721.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00021166861
data/multicoil_train/file_brain_AXT1PRE_203_6000879.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025934586
data/multicoil_train/file_brain_AXT1PRE_203_6000843.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00027099653
data/multicoil_val/file_brain_AXT1PRE_203_6000793.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00028872013
data/multicoil_train/file_brain_AXT1PRE_203_6000833.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00030399492
data/multicoil_train/file_brain_AXT1PRE_203_6000701.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00026541352
data/multicoil_train/file_brain_AXT1PRE_203_6000864.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00029962498
data/multicoil_train/file_brain_AXT1PRE_203_6000779.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00023507095
data/multicoil_train/file_brain_AXT1PRE_203_6000888.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025234075
data/multicoil_train/file_brain_AXT1PRE_203_6000829.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025315463
data/multicoil_train/file_brain_AXT1PRE_203_6000807.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00023764126
data/multicoil_train/file_brain_AXT1PRE_203_6000711.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00026192894
data/multicoil_train/file_brain_AXT1PRE_203_6000826.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002491722
data/multicoil_train/file_brain_AXT1PRE_203_6000847.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00028063898
data/multicoil_val/file_brain_AXT1PRE_203_6000612.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00026995185
data/multicoil_train/file_brain_AXT1PRE_203_6000695.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00021816301
data/multicoil_train/file_brain_AXT1PRE_203_6000791.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002798287
data/multicoil_train/file_brain_AXT1PRE_203_6000614.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00026452384
data/multicoil_train/file_brain_AXT1PRE_203_6000775.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002574511
data/multicoil_train/file_brain_AXT1PRE_203_6000647.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002638318
data/multicoil_val/file_brain_AXT1PRE_203_6000815.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002464251
data/multicoil_train/file_brain_AXT1PRE_203_6000785.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00022427397
data/multicoil_train/file_brain_AXT1PRE_203_6000730.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00020534259
data/multicoil_train/file_brain_AXT1PRE_203_6000823.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.0002574933
data/multicoil_val/file_brain_AXT1PRE_203_6000631.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00022930247
data/multicoil_val/file_brain_AXT1PRE_203_6000868.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00025705094
data/multicoil_val/file_brain_AXT1PRE_203_6000841.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00028011447
data/multicoil_train/file_brain_AXT1PRE_203_6000736.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train,0.00027746192
